mesh_id,mesh_label,definition
D000393,Air Pollutants,
D002097,C-Reactive Protein,
D002244,Carbon,
D002318,Cardiovascular Diseases,
D003924,"Diabetes Mellitus, Type 2",
D004730,"Endothelium, Vascular",
D005819,Genetic Markers,
D005838,Genotype,
D005947,Glucose,
D005978,Glutathione,
D006442,Glycated Hemoglobin,
D007328,Insulin,
D007333,Insulin Resistance,
D009585,Nitrogen Dioxide,
D009765,Obesity,
D010126,Ozone,
D011236,Prediabetic State,
D013458,Sulfur Dioxide,
D013481,Superoxides,
D014409,Tumor Necrosis Factor-alpha,
D015847,Interleukin-4,
D015850,Interleukin-6,
D016328,NF-kappa B,
D016753,Interleukin-10,
D016899,Interferon-beta,
D017382,Reactive Oxygen Species,
D018698,Glutamic Acid,
D020641,"Polymorphism, Single Nucleotide",
D024821,Metabolic Syndrome,
D050197,Atherosclerosis,
D052242,Adiponectin,
D052638,Particulate Matter,
D053829,Amyloid Precursor Protein Secretases,
D054795,Incretins,
